,index,bids_name,cnr,efc,summary_bg_stdv,snrd_total,cnr < 2,efc > .8,snrd < 5,bg_stdev > 50
33,234,sub-129_T1w,1.5505481443249265,0.7826645529451141,155.08616638183594,8.966310948871133,True,False,False,True
34,235,sub-130_T1w,2.953170522018603,0.8378792303759182,59.34168243408203,9.185650449717183,False,True,False,True
35,237,sub-132_T1w,1.6129085172875992,0.8348515495994902,132.37489318847656,2.296005572378165,True,True,True,True
36,238,sub-133_T1w,2.0145894105302893,0.848336064134617,127.11952381141056,3.3757237284889494,False,True,True,True
37,239,sub-134_T1w,1.6958248504184494,0.8122219509002101,101.41944885253906,3.031688517522268,True,True,True,True
38,240,sub-135_T1w,1.7512638595695391,0.8655397996166833,137.5281295341046,3.304455366253728,True,True,True,True
39,241,sub-136_T1w,1.0977667361237804,0.8570842975695566,260.8323449939648,2.935181271779248,True,True,True,True
40,242,sub-137_T1w,1.5666627769995998,0.8233439799343435,139.42362976074222,2.5336422112830292,True,True,True,True
41,243,sub-138_T1w,1.629787591514965,0.8201745366921556,142.7257080078125,5.0646426393528765,True,True,False,True
42,245,sub-140_T1w,2.2497332251906736,0.8763091518555927,91.6836929321289,3.2602162436200444,False,True,True,True
43,246,sub-141_T1w,3.1027837163216514,0.8478703731888156,34.81222915649414,10.884200661844618,False,True,False,False
44,247,sub-142_T1w,1.8119269049752345,0.8402829740600191,124.79990453734965,4.0250533760630915,True,True,True,True
45,248,sub-143_T1w,1.6769372320079712,0.8860077966413653,128.65782509866742,4.034419161058846,True,True,True,True
46,249,sub-144_T1w,1.3107924623459055,0.7892055653552962,162.69117736816406,6.65437955062137,True,False,False,True
47,250,sub-145_T1w,2.820536150545277,0.8594359029504249,38.99783706665039,11.942532363797646,False,True,False,False
48,251,sub-146_T1w,1.987679760721132,0.8429136891983207,135.1612120271133,3.5238047485872612,True,True,True,True
49,254,sub-149_T1w,1.002044916193242,0.8586550918142309,308.7724728889065,3.0082964060408326,True,True,True,True
50,255,sub-150_T1w,0.9325184333913904,0.8788908229762801,328.62366637605663,3.388799782431936,True,True,True,True
51,256,sub-151_T1w,1.8528206299012384,0.85305191877996,144.6820068359375,1.6693069759514951,True,True,True,True
52,257,sub-152_T1w,1.567765710494916,0.8626001990384026,151.32891226587245,2.863944822668244,True,True,True,True
53,258,sub-153_T1w,2.2984239395981736,0.8329046434826824,70.58162689208984,14.108429322235976,False,True,False,True
54,259,sub-154_T1w,0.34044012480078856,0.8815546644155621,877.8133966407454,2.87397187908752,True,True,True,True
55,260,sub-155_T1w,0.6361803932008266,0.8561659183724,430.5283508300781,1.3278616085969912,True,True,True,True
56,261,sub-156_T1w,1.8119269049752345,0.8402829740600191,124.79990453734965,4.0250533760630915,True,True,True,True
57,263,sub-158_T1w,2.8521427274438795,0.8911159230503568,40.76316833496094,8.00737528022568,False,True,False,False
58,264,sub-159_T1w,3.4750840672357786,0.8748660961025807,19.866661071777344,19.02354665253873,False,True,False,False
59,265,sub-160_T1w,0.8555124566515484,0.8970981317906429,270.17274220422047,3.4965620295979645,True,True,True,True
60,266,sub-161_T1w,1.8422279990120285,0.8309097379349729,131.3432580153622,3.6659567143512213,True,True,True,True
61,267,sub-162_T1w,3.5369684371254704,0.8060393920092024,21.672027587890625,21.72211987409373,False,True,False,False
62,268,sub-163_T1w,0.6822546331187471,0.8424015304774538,379.5738525390625,2.4168198886792305,True,True,True,True
63,269,sub-164_T1w,3.127476086118454,0.8548168871625272,23.302677154541016,14.554384230912518,False,True,False,False
64,270,sub-165_T1w,2.089027136086473,0.8383214936899487,109.0919952392578,2.7752895573566025,False,True,True,True
65,271,sub-166_T1w,1.8898710924777755,0.8327095873993886,119.628662109375,2.376097406262561,True,True,True,True
66,272,sub-167_T1w,2.766792613121407,0.880578485321675,39.913082122802734,9.37511900364594,False,True,False,False
67,273,sub-168_T1w,1.5992284650791952,0.8719322793408784,161.26113297413352,3.5656939228734568,True,True,True,True
68,274,sub-169_T1w,2.24244894995942,0.8552338516877184,116.7126235961914,9.135976983449169,False,True,False,True
69,277,sub-172_T1w,2.95764321947976,0.8674426961907054,30.77045249938965,26.66095506651438,False,True,False,False
70,280,sub-175_T1w,1.259893929553292,0.8536662408817879,225.05149841308597,1.7780036137639958,True,True,True,True
71,281,sub-176_T1w,1.474219819031621,0.8650060192021606,183.43338177682875,3.5456058393581347,True,True,True,True
72,283,sub-178_T1w,0.7406047423406557,0.8584594452196236,403.1382268204966,3.358478461054315,True,True,True,True
73,284,sub-179_T1w,1.7887116968115169,0.8391333789959133,143.75880166192414,3.640490973531167,True,True,True,True
74,285,sub-180_T1w,1.0998338611771017,0.8556189364976786,271.2659892286156,3.9587525930176297,True,True,True,True
75,286,sub-181_T1w,0.9260955360270792,0.8802074341409948,284.04360765350015,3.2119623377803674,True,True,True,True
76,287,sub-182_T1w,0.7825063410544717,0.8804460942698933,311.26448109421307,4.010087036601733,True,True,True,True
77,288,sub-183_T1w,1.1496126099932145,0.8815910886345745,211.94088312527785,3.617375678102844,True,True,True,True
78,289,sub-184_T1w,0.816699959551795,0.880491862214298,321.5943680240213,3.320227226867672,True,True,True,True
79,290,sub-185_T1w,2.9727683683119395,0.8233465897032839,39.85094833374024,7.738030425160764,False,True,False,False
80,291,sub-186_T1w,2.0264149684189268,0.8647852941602401,112.16043853759766,2.7108312656761413,False,True,True,True
81,292,sub-187_T1w,3.0721948511799484,0.8288828162152021,56.63784790039063,12.002675747580533,False,True,False,True
82,294,sub-189_T1w,0.5204797867052324,0.8859897976409704,535.8416843193331,3.5690911206617386,True,True,True,True
83,295,sub-190_T1w,3.1813992083356664,0.8370303713656266,44.79795455932617,6.8808354807622445,False,True,False,False
84,296,sub-191_T1w,0.7975210794902419,0.8706776457034944,376.1320950690133,2.8937467352602426,True,True,True,True
